Joomla link,Drupal link,Description
https://www.sib.swiss/giovanni-ciriello-group,https://www.sib.swiss/giovanni-ciriello-group,Giovanni Ciriello Computational Systems Oncology University of Lausanne Group Webpage
https://www.sib.swiss/bastien-chopard-group,https://www.sib.swiss/bastien-chopard-group,"Bastien Chopard Scientific and Parallel Computing Group University of Geneva, Computer Science Department Group Webpage"
https://www.sib.swiss/andrea-cavalli-group,https://www.sib.swiss/andrea-cavalli-group,Andrea Cavalli Computational Structural Biology Institute for Research in Biomedicine Group webpage
https://www.sib.swiss/anne-florence-bitbol-group,https://www.sib.swiss/anne-florence-bitbol-group,"Anne-Florence Bitbol Laboratory of Computational Biology and Theoretical Biophysics EPFL, Lausanne Group Webpage"
https://www.sib.swiss/marija-buljan-group,https://www.sib.swiss/marija-buljan-group,"Marija Buljan Multi-omics for healthcare materials  Empa - Swiss Federal Laboratories for Materials Science and Technology, St. Gallen Group Webpage"
https://www.sib.swiss/luciano-cascione-group,https://www.sib.swiss/luciano-cascione-group,"Luciano Cascione Bioinformatics Core Unit  Institute of Oncology Research, Bellinzona Group Webpage"
https://www.sib.swiss/valentina-boeva-group,https://www.sib.swiss/valentina-boeva-group,Valentina Boeva Computational Epigenetics of Cancer ETH Zurich Group Webpage
https://www.sib.swiss/remy-bruggmann-group,https://www.sib.swiss/remy-bruggmann-group,Rémy Bruggmann Interfaculty Bioinformatics Unit (IBU) University of Bern Group Webpage
https://www.sib.swiss/sven-bergmann-group,https://www.sib.swiss/sven-bergmann-group,Sven Bergmann Computational Biology Group University of Lausanne Group Webpage
https://www.sib.swiss/pedro-beltrao-group,https://www.sib.swiss/pedro-beltrao-group,Pedro Beltrao Cellular consequences of genetic variation ETH Zurich Group Webpage
https://www.sib.swiss/niko-beerenwinkel-group,https://www.sib.swiss/niko-beerenwinkel-group,"Niko Beerenwinkel Computational Biology Group ETH Zurich, D-BSSE, Basel Group Webpage"
https://www.sib.swiss/katja-baerenfaller-group,https://www.sib.swiss/katja-baerenfaller-group,"Katja Bärenfaller Molecular Allergology Group SIAF (University of Zurich), Davos Group Webpage"
https://www.sib.swiss/claudia-bank-group,https://www.sib.swiss/claudia-bank-group,Claudia Bank Theoretical Ecology and Evolution University of Bern Group webpage
https://www.sib.swiss/michael-baudis-group,https://www.sib.swiss/michael-baudis-group,Michael Baudis Computational Oncogenomics Group University of Zurich Group Webpage
https://www.sib.swiss/amos-bairoch-lydie-lane-group,https://www.sib.swiss/amos-bairoch-lydie-lane-group,"Amos Bairoch  &  Lydie Lane Computer and Laboratory Investigation of Proteins of Human Origin (CALIPHO) Geneva, Centre Médical Universitaire (CMU) Group Webpage"
https://www.sib.swiss/andreas-ziegler-group,https://www.sib.swiss/andreas-ziegler-group,Andreas Ziegler Cardio-CARE Group Webpage
https://www.sib.swiss/roman-arguello-group,https://www.sib.swiss/roman-arguello-group,Roman Arguello Evolutionary Genomics & Sensory Biology Group University of Lausanne Group Webpage
https://www.sib.swiss/vincent-zoete-group,https://www.sib.swiss/vincent-zoete-group,Vincent Zoete Computer-aided molecular engineering University of Lausanne Group webpage
https://www.sib.swiss/evgeny-zdobnov-group,https://www.sib.swiss/evgeny-zdobnov-group,Evgeny Zdobnov  &  Evgenia Kriventseva Computational Evolutionary Genomics Group University of Geneva Group Webpage
https://www.sib.swiss/robert-waterhouse-group,https://www.sib.swiss/robert-waterhouse-group,Robert Waterhouse Evolutionary-Functional Genomics Group University of Lausanne Group Webpage
